character,displayName,key,frame,isAttack,widthRatio,heightRatio,bodyWidthRatio,bodyHeightRatio,bodyFootGapRatio,expectedWidthRatio,expectedWidthLabel,areaRatio,bodyAreaRatio,scaleWidth,scaleHeight,scaleSource,sameSourceScaleUses,reasons
allen-walker,Allen Walker,cmd:O+1,77,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,cmd:O+1,78,true,1.03,1.03,1.03,1.03,0,1.03,idleW,1.061,1.061,1.03,1.03,frame,jableft:1.03/1.03|win:1.03/1.03|cmd:FC+1:1.03/1.03|cmd:d+1:1.03/1.03|cmd:qcf+1:1.03/1.03|cmd:O+1:1.03/1.03,seq-area-low:0.43
allen-walker,Allen Walker,cmd:qcf+1,75,true,1.5,1,1.5,1,0,1.5,idleW,1.5,1.5,1,1,frame,jableft:1/1|cmd:FC+1:1/1|cmd:d+1:1/1|cmd:qcf+1:1/1|cmd:O+1:1/1,high-area:1.50
allen-walker,Allen Walker,cmd:qcf+1,76,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,cmd:qcf+1,77,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,cmd:qcf+1,78,true,1.03,1.03,1.03,1.03,0,1.03,idleW,1.061,1.061,1.03,1.03,frame,jableft:1.03/1.03|win:1.03/1.03|cmd:FC+1:1.03/1.03|cmd:d+1:1.03/1.03|cmd:qcf+1:1.03/1.03|cmd:O+1:1.03/1.03,seq-area-low:0.43
allen-walker,Allen Walker,cmd:qcf+4,80,true,1,1,0.979,0.981,0.096,1,idleW,1,0.96,1,1,frame,cmd:qcf+4:1/1,feet-above-ground:0.10
allen-walker,Allen Walker,cmd:qcf+4,82,true,1.31,1.31,1.31,0.999,0,1.31,idleW,1.716,1.309,1.31,1.31,frame,cmd:qcf+4:1.31/1.31,above-blue:1.31h|body-top-below-blue:0.31|high-area:1.72
allen-walker,Allen Walker,cmd:qcf+4,83,true,1.25,1.25,1.193,1.215,0,1.25,idleW,1.563,1.449,1.25,1.25,frame,cmd:qcf+4:1.25/1.25,above-blue:1.25h|body-above:1.21h|high-area:1.56
allen-walker,Allen Walker,crouch,22,false,1.08,0.78,1.08,0.78,0,1.08,idleW,0.842,0.842,1.08,0.78,frame,crouch:1.08/0.78,below-blue:0.78h|body-below:0.78h
allen-walker,Allen Walker,getupStand,32,false,1,1,1,1,0.167,0.5,idleH,1,1,1,1,frame,knockdown:1/1|getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,getupStand,33,false,1,1,1,1,0.08,0.5,idleH,1,1,1,1,frame,knockdown:1/1|getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,getupStand,34,false,1,1,1,1,0.043,0.5,idleH,1,1,1,1,frame,knockdown:1/1|getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,getupStand,53,false,1,1,1,1,0,0.5,idleH,1,1,1,1,frame,getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,getupStand,54,false,1,1,1,1,0,0.5,idleH,1,1,1,1,frame,getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,getupStand,55,false,1,1,1,1,0,0.5,idleH,1,1,1,1,frame,getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,getupStand,56,false,1,1,1,1,0,0.5,idleH,1,1,1,1,frame,getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,getupStand,57,false,1,1,1,1,0,0.5,idleH,1,1,1,1,default,,too-narrow:0.50x-idleH
allen-walker,Allen Walker,jableft,75,true,1.5,1,1.5,1,0,1.5,idleW,1.5,1.5,1,1,frame,jableft:1/1|cmd:FC+1:1/1|cmd:d+1:1/1|cmd:qcf+1:1/1|cmd:O+1:1/1,high-area:1.50
allen-walker,Allen Walker,jableft,76,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,jableft,77,true,1.488,1,1.488,1,0,1.488,idleW,1.488,1.488,0.92,1,frame,jableft:0.92/1|cmd:FC+1:0.92/1|cmd:d+1:0.92/1|cmd:qcf+1:0.92/1|cmd:O+1:0.92/1,high-area:1.49
allen-walker,Allen Walker,jableft,78,true,1.03,1.03,1.03,1.03,0,1.03,idleW,1.061,1.061,1.03,1.03,frame,jableft:1.03/1.03|win:1.03/1.03|cmd:FC+1:1.03/1.03|cmd:d+1:1.03/1.03|cmd:qcf+1:1.03/1.03|cmd:O+1:1.03/1.03,seq-area-low:0.43
allen-walker,Allen Walker,juggle,28,false,1,1,1,1,0.107,0.5,idleH,1,1,1,1,default,,too-narrow:0.50x-idleH
allen-walker,Allen Walker,knockdown,31,false,1,1,1,1,0.077,0.5,idleH,1,1,1,1,frame,knockdown:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,knockdown,32,false,1,1,1,1,0.167,0.5,idleH,1,1,1,1,frame,knockdown:1/1|getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,knockdown,33,false,1,1,1,1,0.08,0.5,idleH,1,1,1,1,frame,knockdown:1/1|getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,knockdown,34,false,1,1,1,1,0.043,0.5,idleH,1,1,1,1,frame,knockdown:1/1|getupStand:1/1,too-narrow:0.50x-idleH
allen-walker,Allen Walker,lose,30,false,1,1,1,1,0,0.5,idleH,1,1,1,1,default,,too-narrow:0.50x-idleH
allen-walker,Allen Walker,sidestepLeft,145,false,1.03,1.03,1.03,1.03,0.069,1.03,idleW,1.061,1.061,1.03,1.03,frame,sidestepLeft:1.03/1.03|sidestepRight:1.03/1.03,feet-above-ground:0.07
allen-walker,Allen Walker,sidestepRight,145,false,1.03,1.03,1.03,1.03,0.069,1.03,idleW,1.061,1.061,1.03,1.03,frame,sidestepLeft:1.03/1.03|sidestepRight:1.03/1.03,feet-above-ground:0.07
allen-walker,Allen Walker,sprint,12,false,1.711,1,1.711,1,0.094,1.711,idleW,1.711,1.711,0.57,1,frame,sprint:0.57/1,too-wide:1.71x-idleW|high-area:1.71|feet-above-ground:0.09
allen-walker,Allen Walker,sprint,13,false,1.668,1,1.668,1,0.094,1.668,idleW,1.668,1.668,0.58,1,frame,sprint:0.58/1,too-wide:1.67x-idleW|high-area:1.67|feet-above-ground:0.09
allen-walker,Allen Walker,walkForward,4,false,1,1,1,1,0.083,1,idleW,1,1,1,1,default,,feet-above-ground:0.08
allen-walker,Allen Walker,walkForward,8,false,1,1,1,1,0.083,1,idleW,1,1,1,1,default,,feet-above-ground:0.08
anna-kyoyama,Anna Kyoyama,backflip,45,false,0.91,0.91,0.91,0.91,0.144,0.91,idleW,0.828,0.828,0.91,0.91,frame,backflip:0.91/0.91,below-blue:0.91h|body-below:0.91h|seq-height-dip:0.12|seq-body-dip:0.12
anna-kyoyama,Anna Kyoyama,backflip,46,false,0.94,0.94,0.94,0.94,0.175,0.94,idleW,0.884,0.884,0.94,0.94,frame,backflip:0.94/0.94,below-blue:0.94h|seq-height-dip:0.09
anna-kyoyama,Anna Kyoyama,backflip,48,false,1.08,1.08,1.08,1.08,0.074,1.08,idleW,1.166,1.166,1.08,1.08,frame,backflip:1.08/1.08,above-blue:1.08h
anna-kyoyama,Anna Kyoyama,block,15,false,0.96,0.96,0.96,0.96,0,0.96,idleW,0.922,0.922,0.96,0.96,frame,block:0.96/0.96,below-blue:0.96h
anna-kyoyama,Anna Kyoyama,cmd:1+2,84,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:1.04/1.04,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:1+2,85,true,1.528,1,1.528,1,0.021,1.528,idleW,1.528,1.528,1,1,default,jabright:0.98/0.98,high-area:1.53|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:1+2,86,true,2.056,1,2.056,1,0.017,2.056,idleW,2.056,2.056,1,1,default,jabright:0.95/0.95,too-wide:2.06x-idleW|high-area:2.06|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:1+2,87,true,2.625,1,2.625,1,0,2.625,idleW,2.625,2.625,1,1,default,jabright:0.98/0.98,too-wide:2.62x-idleW|high-area:2.62|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:1+2,88,true,2.244,1,2.244,1,0.023,2.244,idleW,2.244,2.244,1,1,default,jabright:0.95/0.95,too-wide:2.24x-idleW|high-area:2.24|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:1+2,89,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,jabright:0.98/0.98,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:1+2,90,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,crouchBlock:0.98/0.98|jabright:0.97/0.97,same-source-scaled:crouchBlock/jabright
anna-kyoyama,Anna Kyoyama,cmd:2+3,129,true,1.08,1.08,1.08,1.08,0,1.08,idleW,1.166,1.166,1.08,1.08,frame,cmd:2+3:1.08/1.08,above-blue:1.08h
anna-kyoyama,Anna Kyoyama,cmd:2+3,130,true,1.404,0.95,1.404,0.95,0,1.404,idleW,1.333,1.333,0.95,0.95,frame,cmd:2+3:0.95/0.95,below-blue:0.95h|seq-height-dip:0.13|seq-body-dip:0.13
anna-kyoyama,Anna Kyoyama,cmd:2+3,131,true,1.08,1.08,1.08,1.08,0.015,1.08,idleW,1.166,1.166,1.08,1.08,frame,cmd:2+3:1.08/1.08,above-blue:1.08h
anna-kyoyama,Anna Kyoyama,cmd:2+3,132,true,1.14,1.14,1.14,1.14,0,1.14,idleW,1.3,1.3,1.14,1.14,frame,win:1.14/1.14|cmd:2+3:1.14/1.14,above-blue:1.14h|body-above:1.14h
anna-kyoyama,Anna Kyoyama,cmd:d/f+2,84,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:1.04/1.04,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:d/f+2,85,true,1.528,1,1.528,1,0.021,1.528,idleW,1.528,1.528,1,1,default,jabright:0.98/0.98,high-area:1.53|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:d/f+2,86,true,2.056,1,2.056,1,0.017,2.056,idleW,2.056,2.056,1,1,default,jabright:0.95/0.95,too-wide:2.06x-idleW|high-area:2.06|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:d/f+2,87,true,2.625,1,2.625,1,0,2.625,idleW,2.625,2.625,1,1,default,jabright:0.98/0.98,too-wide:2.62x-idleW|high-area:2.62|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:d/f+2,88,true,2.244,1,2.244,1,0.023,2.244,idleW,2.244,2.244,1,1,default,jabright:0.95/0.95,too-wide:2.24x-idleW|high-area:2.24|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:d/f+2,89,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,jabright:0.98/0.98,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:d/f+2,90,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,crouchBlock:0.98/0.98|jabright:0.97/0.97,same-source-scaled:crouchBlock/jabright
anna-kyoyama,Anna Kyoyama,cmd:f+2,84,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:1.04/1.04,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:f+2,85,true,1.528,1,1.528,1,0.021,1.528,idleW,1.528,1.528,1,1,default,jabright:0.98/0.98,high-area:1.53|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:f+2,86,true,2.056,1,2.056,1,0.017,2.056,idleW,2.056,2.056,1,1,default,jabright:0.95/0.95,too-wide:2.06x-idleW|high-area:2.06|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:f+2,87,true,2.625,1,2.625,1,0,2.625,idleW,2.625,2.625,1,1,default,jabright:0.98/0.98,too-wide:2.62x-idleW|high-area:2.62|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:f+2,88,true,2.244,1,2.244,1,0.023,2.244,idleW,2.244,2.244,1,1,default,jabright:0.95/0.95,too-wide:2.24x-idleW|high-area:2.24|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:f+2,89,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,jabright:0.98/0.98,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:f+2,90,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,crouchBlock:0.98/0.98|jabright:0.97/0.97,same-source-scaled:crouchBlock/jabright
anna-kyoyama,Anna Kyoyama,cmd:FC+2,84,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:1.04/1.04,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:FC+2,85,true,1.528,1,1.528,1,0.021,1.528,idleW,1.528,1.528,1,1,default,jabright:0.98/0.98,high-area:1.53|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:FC+2,86,true,2.056,1,2.056,1,0.017,2.056,idleW,2.056,2.056,1,1,default,jabright:0.95/0.95,too-wide:2.06x-idleW|high-area:2.06|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:FC+2,87,true,2.625,1,2.625,1,0,2.625,idleW,2.625,2.625,1,1,default,jabright:0.98/0.98,too-wide:2.62x-idleW|high-area:2.62|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:FC+2,88,true,2.244,1,2.244,1,0.023,2.244,idleW,2.244,2.244,1,1,default,jabright:0.95/0.95,too-wide:2.24x-idleW|high-area:2.24|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:FC+2,89,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,jabright:0.98/0.98,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:FC+2,90,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,crouchBlock:0.98/0.98|jabright:0.97/0.97,same-source-scaled:crouchBlock/jabright
anna-kyoyama,Anna Kyoyama,cmd:qcf+4,160,true,1.24,1.24,0.79,0.969,0.023,1.24,idleW,1.538,0.766,1.24,1.24,frame,cmd:qcf+4:1.24/1.24,above-blue:1.24h|body-top-below-blue:0.27|high-area:1.54
anna-kyoyama,Anna Kyoyama,cmd:qcf+4,161,true,1.24,1.24,0.744,0.866,0.059,1.24,idleW,1.538,0.644,1.24,1.24,frame,cmd:qcf+4:1.24/1.24,above-blue:1.24h|body-below:0.87h|body-top-below-blue:0.33|high-area:1.54|seq-body-dip:0.12|feet-above-ground:0.06
anna-kyoyama,Anna Kyoyama,cmd:qcf+4,162,true,1.24,1.24,0.806,0.86,0.02,1.24,idleW,1.538,0.693,1.24,1.24,frame,cmd:qcf+4:1.24/1.24,above-blue:1.24h|body-below:0.86h|body-top-below-blue:0.36|high-area:1.54|seq-body-dip:0.13
anna-kyoyama,Anna Kyoyama,cmd:qcf+4,163,true,1.24,1.24,0.758,0.925,0.042,1.24,idleW,1.538,0.701,1.24,1.24,frame,cmd:qcf+4:1.24/1.24,above-blue:1.24h|body-top-below-blue:0.29|high-area:1.54
anna-kyoyama,Anna Kyoyama,cmd:WS+2,84,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:1.04/1.04,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:WS+2,85,true,1.528,1,1.528,1,0.021,1.528,idleW,1.528,1.528,1,1,default,jabright:0.98/0.98,high-area:1.53|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:WS+2,86,true,2.056,1,2.056,1,0.017,2.056,idleW,2.056,2.056,1,1,default,jabright:0.95/0.95,too-wide:2.06x-idleW|high-area:2.06|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:WS+2,87,true,2.625,1,2.625,1,0,2.625,idleW,2.625,2.625,1,1,default,jabright:0.98/0.98,too-wide:2.62x-idleW|high-area:2.62|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:WS+2,88,true,2.244,1,2.244,1,0.023,2.244,idleW,2.244,2.244,1,1,default,jabright:0.95/0.95,too-wide:2.24x-idleW|high-area:2.24|same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:WS+2,89,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,jabright:0.98/0.98,same-source-scaled:jabright
anna-kyoyama,Anna Kyoyama,cmd:WS+2,90,true,1,1,1,1,0.02,1,idleW,1,1,1,1,default,crouchBlock:0.98/0.98|jabright:0.97/0.97,same-source-scaled:crouchBlock/jabright
anna-kyoyama,Anna Kyoyama,crouch,22,false,0.98,0.72,0.98,0.72,0,0.98,idleW,0.706,0.706,0.98,0.72,frame,crouch:0.98/0.72,below-blue:0.72h|body-below:0.72h|low-area:0.71
anna-kyoyama,Anna Kyoyama,getupStand,34,false,1.488,0.58,1.488,0.58,0.045,1.16,idleH,0.863,0.863,0.58,0.58,frame,knockdown:0.58/0.58|getupStand:0.58/0.58|sprint:0.64/0.78,below-blue:0.58h|body-below:0.58h|seq-height-dip:0.39|seq-body-dip:0.18|same-source-scale-diff:0.20
anna-kyoyama,Anna Kyoyama,getupStand,35,false,1.454,0.6,1.454,0.6,0.044,1.134,idleH,0.872,0.872,0.6,0.6,frame,knockdown:0.6/0.6|getupStand:0.6/0.6|sprint:0.68/0.78,below-blue:0.60h|body-below:0.60h|seq-height-dip:0.37|seq-body-dip:0.16|same-source-scale-diff:0.18
anna-kyoyama,Anna Kyoyama,getupStand,36,false,1.174,0.57,1.174,0.57,0.086,0.916,idleH,0.669,0.669,0.57,0.57,frame,knockdown:0.57/0.57|getupStand:0.57/0.57|sprint:0.8/0.82,below-blue:0.57h|body-below:0.57h|low-area:0.67|seq-height-dip:0.40|seq-body-dip:0.19|same-source-scale-diff:0.25
anna-kyoyama,Anna Kyoyama,getupStand,37,false,1.432,0.59,1.432,0.59,0.105,1.117,idleH,0.845,0.845,0.59,0.59,frame,knockdown:0.59/0.59|getupStand:0.59/0.59|sprint:0.68/0.78,below-blue:0.59h|body-below:0.59h|seq-height-dip:0.38|seq-body-dip:0.17|same-source-scale-diff:0.19
anna-kyoyama,Anna Kyoyama,getupStand,53,false,0.92,0.92,0.92,0.92,0,0.718,idleH,0.846,0.846,0.92,0.92,frame,getupStand:0.92/0.92,below-blue:0.92h|body-below:0.92h|too-narrow:0.72x-idleH
anna-kyoyama,Anna Kyoyama,getupStand,54,false,0.92,0.92,0.92,0.92,0,0.718,idleH,0.846,0.846,0.92,0.92,frame,getupStand:0.92/0.92,below-blue:0.92h|too-narrow:0.72x-idleH
anna-kyoyama,Anna Kyoyama,getupStand,55,false,1.04,1.04,1.04,1.04,0,0.811,idleH,1.082,1.082,1.04,1.04,frame,getupStand:1.04/1.04,too-narrow:0.81x-idleH
anna-kyoyama,Anna Kyoyama,getupStand,56,false,1.02,1.02,1.02,1.02,0,0.796,idleH,1.04,1.04,1.02,1.02,frame,getupStand:1.02/1.02,too-narrow:0.80x-idleH
anna-kyoyama,Anna Kyoyama,jabright,85,true,1.497,0.98,1.497,0.98,0.021,1.497,idleW,1.467,1.467,0.98,0.98,frame,jabright:0.98/0.98,high-area:1.47
anna-kyoyama,Anna Kyoyama,jabright,86,true,1.953,0.95,1.953,0.95,0.016,1.953,idleW,1.856,1.856,0.95,0.95,frame,jabright:0.95/0.95,below-blue:0.95h|too-wide:1.95x-idleW|high-area:1.86
anna-kyoyama,Anna Kyoyama,jabright,87,true,2.572,0.98,2.572,0.98,0,2.572,idleW,2.521,2.521,0.98,0.98,frame,jabright:0.98/0.98,too-wide:2.57x-idleW|high-area:2.52
anna-kyoyama,Anna Kyoyama,jabright,88,true,2.132,0.95,2.132,0.95,0.022,2.132,idleW,2.025,2.025,0.95,0.95,frame,jabright:0.95/0.95,below-blue:0.95h|too-wide:2.13x-idleW|high-area:2.03
anna-kyoyama,Anna Kyoyama,jabright,89,true,0.98,0.98,0.98,0.98,0.02,0.98,idleW,0.96,0.96,0.98,0.98,frame,jabright:0.98/0.98,seq-area-low:0.31
anna-kyoyama,Anna Kyoyama,jabright,90,true,0.97,0.97,0.97,0.97,0.019,0.97,idleW,0.941,0.941,0.97,0.97,frame,crouchBlock:0.98/0.98|jabright:0.97/0.97,seq-area-low:0.33
anna-kyoyama,Anna Kyoyama,juggle,31,false,1,1,1,1,0,0.78,idleH,1,1,1,1,frame,sprint:0.99/0.99|juggle:1/1,too-narrow:0.78x-idleH
anna-kyoyama,Anna Kyoyama,knockdown,34,false,1.488,0.58,1.488,0.58,0.045,1.16,idleH,0.863,0.863,0.58,0.58,frame,knockdown:0.58/0.58|getupStand:0.58/0.58|sprint:0.64/0.78,below-blue:0.58h|body-below:0.58h|same-source-scale-diff:0.20
anna-kyoyama,Anna Kyoyama,knockdown,35,false,1.454,0.6,1.454,0.6,0.044,1.134,idleH,0.872,0.872,0.6,0.6,frame,knockdown:0.6/0.6|getupStand:0.6/0.6|sprint:0.68/0.78,below-blue:0.60h|body-below:0.60h|same-source-scale-diff:0.18
anna-kyoyama,Anna Kyoyama,knockdown,36,false,1.174,0.57,1.174,0.57,0.086,0.916,idleH,0.669,0.669,0.57,0.57,frame,knockdown:0.57/0.57|getupStand:0.57/0.57|sprint:0.8/0.82,below-blue:0.57h|body-below:0.57h|low-area:0.67|same-source-scale-diff:0.25
anna-kyoyama,Anna Kyoyama,knockdown,37,false,1.432,0.59,1.432,0.59,0.105,1.117,idleH,0.845,0.845,0.59,0.59,frame,knockdown:0.59/0.59|getupStand:0.59/0.59|sprint:0.68/0.78,below-blue:0.59h|body-below:0.59h|same-source-scale-diff:0.19
anna-kyoyama,Anna Kyoyama,lose,33,false,1.232,0.3,1.232,0.3,0,0.961,idleH,0.37,0.37,0.3,0.3,frame,sprint:0.46/0.8|lose:0.3/0.3,below-blue:0.30h|body-below:0.30h|low-area:0.37|same-source-scale-diff:0.50
