animationKey,category,character,displayName,firstFrame,frameRefs,hasMoveOverride,lastFrame,uniqueFrames
crouchBlock,non-attack,arale-norimaki,Arale Norimaki,90,8,False,98,8
getupRollUp,non-attack,arale-norimaki,Arale Norimaki,,0,False,,0
getupStand,non-attack,arale-norimaki,Arale Norimaki,31,4,False,60,4
hitHeavy,non-attack,arale-norimaki,Arale Norimaki,,0,False,,0
hitLight,non-attack,arale-norimaki,Arale Norimaki,26,1,False,26,1
idle,non-attack,arale-norimaki,Arale Norimaki,0,4,False,3,4
jableft,attack,arale-norimaki,Arale Norimaki,86,3,True,88,3
jabright,attack,arale-norimaki,Arale Norimaki,127,5,True,131,5
juggle,non-attack,arale-norimaki,Arale Norimaki,29,2,False,30,2
jump,non-attack,arale-norimaki,Arale Norimaki,19,3,False,21,3
kickleft,attack,arale-norimaki,Arale Norimaki,,0,True,,0
kickright,attack,arale-norimaki,Arale Norimaki,,0,True,,0
knockdown,non-attack,arale-norimaki,Arale Norimaki,38,5,False,42,5
lose,non-attack,arale-norimaki,Arale Norimaki,31,1,False,31,1
sidestepLeft,non-attack,arale-norimaki,Arale Norimaki,40,1,False,40,1
sidestepRight,non-attack,arale-norimaki,Arale Norimaki,40,1,False,40,1
sprint,non-attack,arale-norimaki,Arale Norimaki,30,10,False,39,10
walkBack,non-attack,arale-norimaki,Arale Norimaki,83,1,False,83,1
walkForward,non-attack,arale-norimaki,Arale Norimaki,4,8,False,11,8
win,non-attack,arale-norimaki,Arale Norimaki,131,1,False,131,1
backflip,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,40,8,False,48,8
block,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,15,1,False,15,1
chargeKi,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,60,5,False,64,5
cmd:1+2,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,128,7,True,134,7
cmd:1+3,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:2+3,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:2+4,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:3+4,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,123,5,True,127,5
cmd:FC+1,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:FC+2,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:O+2,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:WS+4,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:d/f+2,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:f+1,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
cmd:qcf+4,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
crouch,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,23,1,False,23,1
crouchBlock,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,90,8,False,98,8
getupRollUp,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,False,,0
getupStand,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,32,8,False,53,8
hitHeavy,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,False,,0
hitLight,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,24,1,False,24,1
idle,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,0,6,False,3,4
jableft,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,68,4,True,71,4
jabright,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
juggle,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,27,2,False,28,2
jump,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,17,4,False,20,4
kickleft,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,98,6,True,103,6
kickright,attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,,0,True,,0
knockdown,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,31,4,False,34,4
lose,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,29,1,False,29,1
sidestepLeft,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,87,1,False,87,1
sidestepRight,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,87,1,False,87,1
sprint,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,30,10,False,39,10
walkBack,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,14,1,False,14,1
walkForward,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,4,8,False,11,8
win,non-attack,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,103,1,False,103,1
backflip,non-attack,caramelman-j,Caramelman J,40,8,False,48,8
block,non-attack,caramelman-j,Caramelman J,14,1,False,14,1
chargeKi,non-attack,caramelman-j,Caramelman J,107,8,False,115,8
cmd:1+2,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:1+3,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:2+3,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:2+4,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:3+4,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:FC+1,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:FC+2,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:O+2,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:WS+4,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:d/f+2,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:f+1,attack,caramelman-j,Caramelman J,,0,True,,0
cmd:qcf+4,attack,caramelman-j,Caramelman J,,0,True,,0
crouch,non-attack,caramelman-j,Caramelman J,88,1,False,88,1
crouchBlock,non-attack,caramelman-j,Caramelman J,90,7,False,96,7
getupRollUp,non-attack,caramelman-j,Caramelman J,,0,False,,0
getupStand,non-attack,caramelman-j,Caramelman J,,0,False,,0
hitHeavy,non-attack,caramelman-j,Caramelman J,,0,False,,0
hitLight,non-attack,caramelman-j,Caramelman J,24,1,False,24,1
idle,non-attack,caramelman-j,Caramelman J,0,6,False,3,4
jableft,attack,caramelman-j,Caramelman J,117,8,True,125,8
jabright,attack,caramelman-j,Caramelman J,127,8,True,134,8
juggle,non-attack,caramelman-j,Caramelman J,27,2,False,28,2
jump,non-attack,caramelman-j,Caramelman J,70,8,False,78,8
kickleft,attack,caramelman-j,Caramelman J,0,8,True,8,8
kickright,attack,caramelman-j,Caramelman J,10,8,True,18,8
knockdown,non-attack,caramelman-j,Caramelman J,,0,False,,0
lose,non-attack,caramelman-j,Caramelman J,,0,False,,0
sidestepLeft,non-attack,caramelman-j,Caramelman J,50,8,False,58,8
sidestepRight,non-attack,caramelman-j,Caramelman J,14,2,False,68,2
sprint,non-attack,caramelman-j,Caramelman J,30,10,False,39,10
walkBack,non-attack,caramelman-j,Caramelman J,12,1,False,12,1
walkForward,non-attack,caramelman-j,Caramelman J,4,9,False,19,9
win,non-attack,caramelman-j,Caramelman J,18,1,False,18,1
backflip,non-attack,cygnus-hyoga,Cygnus Hyōga,0,8,False,8,8
block,non-attack,cygnus-hyoga,Cygnus Hyōga,14,1,False,14,1
chargeKi,non-attack,cygnus-hyoga,Cygnus Hyōga,28,7,False,34,7
cmd:1+2,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:1+3,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:2+3,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:2+4,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:3+4,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:FC+1,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:FC+2,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:O+2,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:WS+4,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:d/f+2,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:f+1,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
cmd:qcf+4,attack,cygnus-hyoga,Cygnus Hyōga,,0,True,,0
crouch,non-attack,cygnus-hyoga,Cygnus Hyōga,0,8,False,8,8
crouchBlock,non-attack,cygnus-hyoga,Cygnus Hyōga,10,8,False,17,8
getupRollUp,non-attack,cygnus-hyoga,Cygnus Hyōga,,0,False,,0
getupStand,non-attack,cygnus-hyoga,Cygnus Hyōga,,0,False,,0
hitHeavy,non-attack,cygnus-hyoga,Cygnus Hyōga,,0,False,,0
hitLight,non-attack,cygnus-hyoga,Cygnus Hyōga,,0,False,,0
idle,non-attack,cygnus-hyoga,Cygnus Hyōga,,0,False,,0
jableft,attack,cygnus-hyoga,Cygnus Hyōga,0,8,True,8,8
jabright,attack,cygnus-hyoga,Cygnus Hyōga,10,8,True,17,8
juggle,non-attack,cygnus-hyoga,Cygnus Hyōga,,0,False,,0
jump,non-attack,cygnus-hyoga,Cygnus Hyōga,28,7,False,34,7
kickleft,attack,cygnus-hyoga,Cygnus Hyōga,19,8,True,26,8
kickright,attack,cygnus-hyoga,Cygnus Hyōga,28,7,True,34,7
knockdown,non-attack,cygnus-hyoga,Cygnus Hyōga,,0,False,,0
lose,non-attack,cygnus-hyoga,Cygnus Hyōga,,0,False,,0
sidestepLeft,non-attack,cygnus-hyoga,Cygnus Hyōga,10,8,False,17,8
sidestepRight,non-attack,cygnus-hyoga,Cygnus Hyōga,19,8,False,26,8
sprint,non-attack,cygnus-hyoga,Cygnus Hyōga,28,7,False,34,7
walkBack,non-attack,cygnus-hyoga,Cygnus Hyōga,16,1,False,16,1
walkForward,non-attack,cygnus-hyoga,Cygnus Hyōga,18,1,False,18,1
win,non-attack,cygnus-hyoga,Cygnus Hyōga,34,1,False,34,1
backflip,non-attack,dio,DIO,40,8,False,48,8
block,non-attack,dio,DIO,13,1,False,13,1
chargeKi,non-attack,dio,DIO,54,10,False,63,10
cmd:1+2,attack,dio,DIO,160,10,True,169,10
cmd:1+3,attack,dio,DIO,,0,True,,0
cmd:2+3,attack,dio,DIO,,0,True,,0
cmd:2+4,attack,dio,DIO,,0,True,,0
cmd:3+4,attack,dio,DIO,181,5,True,185,5
cmd:FC+1,attack,dio,DIO,,0,True,,0
cmd:FC+2,attack,dio,DIO,,0,True,,0
cmd:O+2,attack,dio,DIO,,0,True,,0
cmd:WS+4,attack,dio,DIO,,0,True,,0
cmd:d/f+2,attack,dio,DIO,,0,True,,0
cmd:f+1,attack,dio,DIO,,0,True,,0
cmd:qcf+4,attack,dio,DIO,,0,True,,0
crouch,non-attack,dio,DIO,50,1,False,50,1
crouchBlock,non-attack,dio,DIO,90,8,False,98,8
getupRollUp,non-attack,dio,DIO,,0,False,,0
getupStand,non-attack,dio,DIO,29,9,False,54,9
hitHeavy,non-attack,dio,DIO,,0,False,,0
hitLight,non-attack,dio,DIO,23,1,False,23,1
idle,non-attack,dio,DIO,0,6,False,3,4
jableft,attack,dio,DIO,75,4,True,78,4
jabright,attack,dio,DIO,,0,True,,0
juggle,non-attack,dio,DIO,26,2,False,27,2
jump,non-attack,dio,DIO,21,1,False,21,1
kickleft,attack,dio,DIO,,0,True,,0
kickright,attack,dio,DIO,,0,True,,0
knockdown,non-attack,dio,DIO,29,4,False,32,4
lose,non-attack,dio,DIO,28,1,False,28,1
sidestepLeft,non-attack,dio,DIO,42,1,False,42,1
sidestepRight,non-attack,dio,DIO,42,1,False,42,1
sprint,non-attack,dio,DIO,30,10,False,39,10
walkBack,non-attack,dio,DIO,13,1,False,13,1
walkForward,non-attack,dio,DIO,4,4,False,7,4
win,non-attack,dio,DIO,78,1,False,78,1
backflip,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,40,8,False,48,8
block,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,17,1,False,17,1
chargeKi,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,12,4,False,15,4
cmd:1+2,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,117,9,True,125,9
cmd:1+3,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:2+3,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:2+4,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:3+4,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,134,8,True,141,8
cmd:FC+1,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:FC+2,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:O+2,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:WS+4,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:d/f+2,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:f+1,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
cmd:qcf+4,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,True,,0
crouch,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,56,1,False,56,1
crouchBlock,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,90,8,False,98,8
getupRollUp,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,False,,0
getupStand,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,23,9,False,57,9
hitHeavy,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,,0,False,,0
hitLight,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,28,1,False,28,1
idle,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,0,6,False,3,4
jableft,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,76,5,True,80,5
jabright,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,90,5,True,94,5
juggle,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,32,2,False,33,2
jump,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,19,4,False,22,4
kickleft,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,124,1,True,124,1
kickright,attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,192,8,True,200,8
knockdown,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,35,4,False,38,4
lose,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,34,1,False,34,1
sidestepLeft,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,161,1,False,161,1
sidestepRight,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,161,1,False,161,1
sprint,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,30,10,False,39,10
walkBack,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,16,1,False,16,1
walkForward,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,4,8,False,11,8
win,non-attack,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,200,1,False,200,1
backflip,non-attack,dr-mashirito,Dr. Mashirito,40,8,False,48,8
block,non-attack,dr-mashirito,Dr. Mashirito,162,1,False,162,1
chargeKi,non-attack,dr-mashirito,Dr. Mashirito,56,2,False,57,2
cmd:1+2,attack,dr-mashirito,Dr. Mashirito,135,14,True,159,14
cmd:1+3,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:2+3,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:2+4,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:3+4,attack,dr-mashirito,Dr. Mashirito,60,9,True,64,5
cmd:FC+1,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:FC+2,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:O+2,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:WS+4,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:d/f+2,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:f+1,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
cmd:qcf+4,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
crouch,non-attack,dr-mashirito,Dr. Mashirito,19,1,False,19,1
crouchBlock,non-attack,dr-mashirito,Dr. Mashirito,90,8,False,98,8
getupRollUp,non-attack,dr-mashirito,Dr. Mashirito,,0,False,,0
getupStand,non-attack,dr-mashirito,Dr. Mashirito,18,9,False,52,9
hitHeavy,non-attack,dr-mashirito,Dr. Mashirito,,0,False,,0
hitLight,non-attack,dr-mashirito,Dr. Mashirito,21,1,False,21,1
idle,non-attack,dr-mashirito,Dr. Mashirito,0,6,False,3,4
jableft,attack,dr-mashirito,Dr. Mashirito,70,6,True,75,6
jabright,attack,dr-mashirito,Dr. Mashirito,180,10,True,216,10
juggle,non-attack,dr-mashirito,Dr. Mashirito,24,2,False,25,2
jump,non-attack,dr-mashirito,Dr. Mashirito,18,3,False,20,3
kickleft,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
kickright,attack,dr-mashirito,Dr. Mashirito,,0,True,,0
knockdown,non-attack,dr-mashirito,Dr. Mashirito,28,4,False,31,4
lose,non-attack,dr-mashirito,Dr. Mashirito,26,1,False,26,1
sidestepLeft,non-attack,dr-mashirito,Dr. Mashirito,120,1,False,120,1
sidestepRight,non-attack,dr-mashirito,Dr. Mashirito,120,1,False,120,1
sprint,non-attack,dr-mashirito,Dr. Mashirito,30,10,False,39,10
walkBack,non-attack,dr-mashirito,Dr. Mashirito,12,1,False,12,1
walkForward,non-attack,dr-mashirito,Dr. Mashirito,4,4,False,7,4
win,non-attack,dr-mashirito,Dr. Mashirito,75,1,False,75,1
backflip,non-attack,dragon-shiryu,Dragon Shiryū,10,8,False,17,8
block,non-attack,dragon-shiryu,Dragon Shiryū,10,8,False,17,8
chargeKi,non-attack,dragon-shiryu,Dragon Shiryū,19,5,False,23,5
cmd:1+2,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:1+3,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:2+3,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:2+4,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:3+4,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:FC+1,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:FC+2,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:O+2,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:WS+4,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:d/f+2,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:f+1,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
cmd:qcf+4,attack,dragon-shiryu,Dragon Shiryū,,0,True,,0
crouch,non-attack,dragon-shiryu,Dragon Shiryū,19,5,False,23,5
crouchBlock,non-attack,dragon-shiryu,Dragon Shiryū,0,8,False,8,8
getupRollUp,non-attack,dragon-shiryu,Dragon Shiryū,,0,False,,0
getupStand,non-attack,dragon-shiryu,Dragon Shiryū,,0,False,,0
hitHeavy,non-attack,dragon-shiryu,Dragon Shiryū,,0,False,,0
hitLight,non-attack,dragon-shiryu,Dragon Shiryū,,0,False,,0
idle,non-attack,dragon-shiryu,Dragon Shiryū,,0,False,,0
jableft,attack,dragon-shiryu,Dragon Shiryū,1,7,True,8,7
jabright,attack,dragon-shiryu,Dragon Shiryū,10,8,True,17,8
juggle,non-attack,dragon-shiryu,Dragon Shiryū,,0,False,,0
jump,non-attack,dragon-shiryu,Dragon Shiryū,10,8,False,17,8
kickleft,attack,dragon-shiryu,Dragon Shiryū,19,5,True,23,5
kickright,attack,dragon-shiryu,Dragon Shiryū,0,8,True,8,8
knockdown,non-attack,dragon-shiryu,Dragon Shiryū,,0,False,,0
lose,non-attack,dragon-shiryu,Dragon Shiryū,,0,False,,0
sidestepLeft,non-attack,dragon-shiryu,Dragon Shiryū,23,1,False,23,1
sidestepRight,non-attack,dragon-shiryu,Dragon Shiryū,0,8,False,8,8
sprint,non-attack,dragon-shiryu,Dragon Shiryū,0,10,False,9,10
walkBack,non-attack,dragon-shiryu,Dragon Shiryū,13,1,False,13,1
walkForward,non-attack,dragon-shiryu,Dragon Shiryū,0,1,False,0,1
win,non-attack,dragon-shiryu,Dragon Shiryū,8,1,False,8,1
backflip,non-attack,eve,Eve,40,8,False,48,8
block,non-attack,eve,Eve,15,1,False,15,1
chargeKi,non-attack,eve,Eve,111,3,False,115,3
cmd:1+2,attack,eve,Eve,153,6,True,158,6
cmd:1+3,attack,eve,Eve,,0,True,,0
cmd:2+3,attack,eve,Eve,,0,True,,0
cmd:2+4,attack,eve,Eve,,0,True,,0
cmd:3+4,attack,eve,Eve,136,10,True,143,8
