character,moveKey,reason
arale-norimaki,neutral:heavy-jab-special,no animationFrames sequence
arale-norimaki,neutral:heavy-kick,no animationFrames sequence
arale-norimaki,neutral:heavy-kick-special,no animationFrames sequence
arale-norimaki,neutral:heavy-special,no animationFrames sequence
arale-norimaki,neutral:heavy-special-kick,no animationFrames sequence
arale-norimaki,neutral:jab-heavy,no animationFrames sequence
arale-norimaki,neutral:jab-heavy-kick,no animationFrames sequence
arale-norimaki,neutral:jab-heavy-special,no animationFrames sequence
arale-norimaki,neutral:jab-jab,no animationFrames sequence
arale-norimaki,neutral:jab-jab-heavy,no animationFrames sequence
arale-norimaki,neutral:jab-jab-kick,no animationFrames sequence
arale-norimaki,neutral:jab-jab-special,no animationFrames sequence
arale-norimaki,neutral:jab-kick,no animationFrames sequence
arale-norimaki,neutral:jab-kick-heavy,no animationFrames sequence
arale-norimaki,neutral:jab-kick-special,no animationFrames sequence
arale-norimaki,neutral:jab-special,no animationFrames sequence
arale-norimaki,neutral:jab-special-heavy,no animationFrames sequence
arale-norimaki,neutral:kick-heavy,no animationFrames sequence
arale-norimaki,neutral:kick-heavy-special,no animationFrames sequence
arale-norimaki,neutral:kick-jab,no animationFrames sequence
arale-norimaki,neutral:kick-jab-special,no animationFrames sequence
arale-norimaki,neutral:kick-special,no animationFrames sequence
arale-norimaki,neutral:kick-special-heavy,no animationFrames sequence
arale-norimaki,neutral:special-heavy,no animationFrames sequence
arale-norimaki,neutral:special-jab,no animationFrames sequence
arale-norimaki,neutral:special-jab-heavy,no animationFrames sequence
arale-norimaki,neutral:special-kick,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:1+3,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:2+3,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:2+4,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:FC+1,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:FC+2,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:O+2,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:WS+4,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:d/f+2,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:f+1,no animationFrames sequence
bobobo-bo-bo-bobo,cmd:qcf+4,no animationFrames sequence
bobobo-bo-bo-bobo,jabright,no animationFrames sequence
bobobo-bo-bo-bobo,kickright,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:heavy-jab,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:heavy-jab-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:heavy-jab-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:heavy-kick,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:heavy-kick-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:heavy-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:heavy-special-kick,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-heavy-kick,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-heavy-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-jab,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-jab-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-jab-kick,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-jab-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-kick,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-kick-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-kick-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:jab-special-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:kick-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:kick-heavy-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:kick-jab,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:kick-jab-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:kick-special,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:kick-special-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:special-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:special-jab,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:special-jab-heavy,no animationFrames sequence
bobobo-bo-bo-bobo,neutral:special-kick,no animationFrames sequence
caramelman-j,cmd:1+2,no animationFrames sequence
caramelman-j,cmd:1+3,no animationFrames sequence
caramelman-j,cmd:2+3,no animationFrames sequence
caramelman-j,cmd:2+4,no animationFrames sequence
caramelman-j,cmd:3+4,no animationFrames sequence
caramelman-j,cmd:FC+1,no animationFrames sequence
caramelman-j,cmd:FC+2,no animationFrames sequence
caramelman-j,cmd:O+2,no animationFrames sequence
caramelman-j,cmd:WS+4,no animationFrames sequence
caramelman-j,cmd:d/f+2,no animationFrames sequence
caramelman-j,cmd:f+1,no animationFrames sequence
caramelman-j,cmd:qcf+4,no animationFrames sequence
caramelman-j,neutral:heavy-jab,no animationFrames sequence
caramelman-j,neutral:heavy-jab-heavy,no animationFrames sequence
caramelman-j,neutral:heavy-jab-special,no animationFrames sequence
caramelman-j,neutral:heavy-kick,no animationFrames sequence
caramelman-j,neutral:heavy-kick-special,no animationFrames sequence
caramelman-j,neutral:heavy-special,no animationFrames sequence
caramelman-j,neutral:heavy-special-kick,no animationFrames sequence
caramelman-j,neutral:jab-heavy,no animationFrames sequence
caramelman-j,neutral:jab-heavy-kick,no animationFrames sequence
caramelman-j,neutral:jab-heavy-special,no animationFrames sequence
caramelman-j,neutral:jab-jab,no animationFrames sequence
caramelman-j,neutral:jab-jab-heavy,no animationFrames sequence
caramelman-j,neutral:jab-jab-kick,no animationFrames sequence
caramelman-j,neutral:jab-jab-special,no animationFrames sequence
caramelman-j,neutral:jab-kick,no animationFrames sequence
caramelman-j,neutral:jab-kick-heavy,no animationFrames sequence
caramelman-j,neutral:jab-kick-special,no animationFrames sequence
caramelman-j,neutral:jab-special,no animationFrames sequence
caramelman-j,neutral:jab-special-heavy,no animationFrames sequence
caramelman-j,neutral:kick-heavy,no animationFrames sequence
caramelman-j,neutral:kick-heavy-special,no animationFrames sequence
caramelman-j,neutral:kick-jab,no animationFrames sequence
caramelman-j,neutral:kick-jab-special,no animationFrames sequence
caramelman-j,neutral:kick-special,no animationFrames sequence
caramelman-j,neutral:kick-special-heavy,no animationFrames sequence
caramelman-j,neutral:special-heavy,no animationFrames sequence
caramelman-j,neutral:special-jab,no animationFrames sequence
caramelman-j,neutral:special-jab-heavy,no animationFrames sequence
caramelman-j,neutral:special-kick,no animationFrames sequence
cygnus-hyoga,cmd:1+2,no animationFrames sequence
cygnus-hyoga,cmd:1+3,no animationFrames sequence
cygnus-hyoga,cmd:2+3,no animationFrames sequence
cygnus-hyoga,cmd:2+4,no animationFrames sequence
cygnus-hyoga,cmd:3+4,no animationFrames sequence
cygnus-hyoga,cmd:FC+1,no animationFrames sequence
cygnus-hyoga,cmd:FC+2,no animationFrames sequence
cygnus-hyoga,cmd:O+2,no animationFrames sequence
cygnus-hyoga,cmd:WS+4,no animationFrames sequence
cygnus-hyoga,cmd:d/f+2,no animationFrames sequence
cygnus-hyoga,cmd:f+1,no animationFrames sequence
cygnus-hyoga,cmd:qcf+4,no animationFrames sequence
cygnus-hyoga,neutral:heavy-jab,no animationFrames sequence
cygnus-hyoga,neutral:heavy-jab-heavy,no animationFrames sequence
cygnus-hyoga,neutral:heavy-jab-special,no animationFrames sequence
cygnus-hyoga,neutral:heavy-kick,no animationFrames sequence
cygnus-hyoga,neutral:heavy-kick-special,no animationFrames sequence
cygnus-hyoga,neutral:heavy-special,no animationFrames sequence
cygnus-hyoga,neutral:heavy-special-kick,no animationFrames sequence
cygnus-hyoga,neutral:jab-heavy,no animationFrames sequence
cygnus-hyoga,neutral:jab-heavy-kick,no animationFrames sequence
cygnus-hyoga,neutral:jab-heavy-special,no animationFrames sequence
cygnus-hyoga,neutral:jab-jab,no animationFrames sequence
cygnus-hyoga,neutral:jab-jab-heavy,no animationFrames sequence
cygnus-hyoga,neutral:jab-jab-kick,no animationFrames sequence
cygnus-hyoga,neutral:jab-jab-special,no animationFrames sequence
cygnus-hyoga,neutral:jab-kick,no animationFrames sequence
cygnus-hyoga,neutral:jab-kick-heavy,no animationFrames sequence
cygnus-hyoga,neutral:jab-kick-special,no animationFrames sequence
cygnus-hyoga,neutral:jab-special,no animationFrames sequence
cygnus-hyoga,neutral:jab-special-heavy,no animationFrames sequence
cygnus-hyoga,neutral:kick-heavy,no animationFrames sequence
cygnus-hyoga,neutral:kick-heavy-special,no animationFrames sequence
cygnus-hyoga,neutral:kick-jab,no animationFrames sequence
cygnus-hyoga,neutral:kick-jab-special,no animationFrames sequence
cygnus-hyoga,neutral:kick-special,no animationFrames sequence
cygnus-hyoga,neutral:kick-special-heavy,no animationFrames sequence
cygnus-hyoga,neutral:special-heavy,no animationFrames sequence
cygnus-hyoga,neutral:special-jab,no animationFrames sequence
cygnus-hyoga,neutral:special-jab-heavy,no animationFrames sequence
cygnus-hyoga,neutral:special-kick,no animationFrames sequence
dio,cmd:1+3,no animationFrames sequence
dio,cmd:2+3,no animationFrames sequence
dio,cmd:2+4,no animationFrames sequence
dio,cmd:FC+1,no animationFrames sequence
dio,cmd:FC+2,no animationFrames sequence
dio,cmd:O+2,no animationFrames sequence
dio,cmd:WS+4,no animationFrames sequence
dio,cmd:d/f+2,no animationFrames sequence
dio,cmd:f+1,no animationFrames sequence
dio,cmd:qcf+4,no animationFrames sequence
dio,jabright,no animationFrames sequence
dio,kickleft,no animationFrames sequence
dio,kickright,no animationFrames sequence
dio,neutral:heavy-jab,no animationFrames sequence
dio,neutral:heavy-jab-heavy,no animationFrames sequence
dio,neutral:heavy-jab-special,no animationFrames sequence
dio,neutral:heavy-kick,no animationFrames sequence
dio,neutral:heavy-kick-special,no animationFrames sequence
dio,neutral:heavy-special,no animationFrames sequence
dio,neutral:heavy-special-kick,no animationFrames sequence
dio,neutral:jab-heavy,no animationFrames sequence
dio,neutral:jab-heavy-kick,no animationFrames sequence
dio,neutral:jab-heavy-special,no animationFrames sequence
dio,neutral:jab-jab,no animationFrames sequence
dio,neutral:jab-jab-heavy,no animationFrames sequence
dio,neutral:jab-jab-kick,no animationFrames sequence
dio,neutral:jab-jab-special,no animationFrames sequence
dio,neutral:jab-kick,no animationFrames sequence
dio,neutral:jab-kick-heavy,no animationFrames sequence
dio,neutral:jab-kick-special,no animationFrames sequence
dio,neutral:jab-special,no animationFrames sequence
dio,neutral:jab-special-heavy,no animationFrames sequence
dio,neutral:kick-heavy,no animationFrames sequence
dio,neutral:kick-heavy-special,no animationFrames sequence
dio,neutral:kick-jab,no animationFrames sequence
dio,neutral:kick-jab-special,no animationFrames sequence
dio,neutral:kick-special,no animationFrames sequence
dio,neutral:kick-special-heavy,no animationFrames sequence
dio,neutral:special-heavy,no animationFrames sequence
dio,neutral:special-jab,no animationFrames sequence
dio,neutral:special-jab-heavy,no animationFrames sequence
dio,neutral:special-kick,no animationFrames sequence
don-patch-poppa-rocks,cmd:1+3,no animationFrames sequence
don-patch-poppa-rocks,cmd:2+3,no animationFrames sequence
don-patch-poppa-rocks,cmd:2+4,no animationFrames sequence
don-patch-poppa-rocks,cmd:FC+1,no animationFrames sequence
don-patch-poppa-rocks,cmd:FC+2,no animationFrames sequence
don-patch-poppa-rocks,cmd:O+2,no animationFrames sequence
don-patch-poppa-rocks,cmd:WS+4,no animationFrames sequence
don-patch-poppa-rocks,cmd:d/f+2,no animationFrames sequence
don-patch-poppa-rocks,cmd:f+1,no animationFrames sequence
don-patch-poppa-rocks,cmd:qcf+4,no animationFrames sequence
don-patch-poppa-rocks,neutral:heavy-jab,no animationFrames sequence
don-patch-poppa-rocks,neutral:heavy-jab-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:heavy-jab-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:heavy-kick,no animationFrames sequence
don-patch-poppa-rocks,neutral:heavy-kick-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:heavy-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:heavy-special-kick,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-heavy-kick,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-heavy-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-jab,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-jab-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-jab-kick,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-jab-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-kick,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-kick-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-kick-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:jab-special-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:kick-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:kick-heavy-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:kick-jab,no animationFrames sequence
don-patch-poppa-rocks,neutral:kick-jab-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:kick-special,no animationFrames sequence
don-patch-poppa-rocks,neutral:kick-special-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:special-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:special-jab,no animationFrames sequence
don-patch-poppa-rocks,neutral:special-jab-heavy,no animationFrames sequence
don-patch-poppa-rocks,neutral:special-kick,no animationFrames sequence
dr-mashirito,cmd:1+3,no animationFrames sequence
dr-mashirito,cmd:2+3,no animationFrames sequence
dr-mashirito,cmd:2+4,no animationFrames sequence
dr-mashirito,cmd:FC+1,no animationFrames sequence
dr-mashirito,cmd:FC+2,no animationFrames sequence
dr-mashirito,cmd:O+2,no animationFrames sequence
dr-mashirito,cmd:WS+4,no animationFrames sequence
dr-mashirito,cmd:d/f+2,no animationFrames sequence
dr-mashirito,cmd:f+1,no animationFrames sequence
dr-mashirito,cmd:qcf+4,no animationFrames sequence
dr-mashirito,kickleft,no animationFrames sequence
dr-mashirito,kickright,no animationFrames sequence
dr-mashirito,neutral:heavy-jab,no animationFrames sequence
dr-mashirito,neutral:heavy-jab-heavy,no animationFrames sequence
dr-mashirito,neutral:heavy-jab-special,no animationFrames sequence
dr-mashirito,neutral:heavy-kick,no animationFrames sequence
dr-mashirito,neutral:heavy-kick-special,no animationFrames sequence
dr-mashirito,neutral:heavy-special,no animationFrames sequence
dr-mashirito,neutral:heavy-special-kick,no animationFrames sequence
dr-mashirito,neutral:jab-heavy,no animationFrames sequence
dr-mashirito,neutral:jab-heavy-kick,no animationFrames sequence
dr-mashirito,neutral:jab-heavy-special,no animationFrames sequence
dr-mashirito,neutral:jab-jab,no animationFrames sequence
dr-mashirito,neutral:jab-jab-heavy,no animationFrames sequence
dr-mashirito,neutral:jab-jab-kick,no animationFrames sequence
dr-mashirito,neutral:jab-jab-special,no animationFrames sequence
dr-mashirito,neutral:jab-kick,no animationFrames sequence
dr-mashirito,neutral:jab-kick-heavy,no animationFrames sequence
dr-mashirito,neutral:jab-kick-special,no animationFrames sequence
dr-mashirito,neutral:jab-special,no animationFrames sequence
dr-mashirito,neutral:jab-special-heavy,no animationFrames sequence
dr-mashirito,neutral:kick-heavy,no animationFrames sequence
dr-mashirito,neutral:kick-heavy-special,no animationFrames sequence
dr-mashirito,neutral:kick-jab,no animationFrames sequence
dr-mashirito,neutral:kick-jab-special,no animationFrames sequence
dr-mashirito,neutral:kick-special,no animationFrames sequence
dr-mashirito,neutral:kick-special-heavy,no animationFrames sequence
dr-mashirito,neutral:special-heavy,no animationFrames sequence
dr-mashirito,neutral:special-jab,no animationFrames sequence
dr-mashirito,neutral:special-jab-heavy,no animationFrames sequence
dr-mashirito,neutral:special-kick,no animationFrames sequence
dragon-shiryu,cmd:1+2,no animationFrames sequence
dragon-shiryu,cmd:1+3,no animationFrames sequence
dragon-shiryu,cmd:2+3,no animationFrames sequence
dragon-shiryu,cmd:2+4,no animationFrames sequence
dragon-shiryu,cmd:3+4,no animationFrames sequence
dragon-shiryu,cmd:FC+1,no animationFrames sequence
dragon-shiryu,cmd:FC+2,no animationFrames sequence
dragon-shiryu,cmd:O+2,no animationFrames sequence
dragon-shiryu,cmd:WS+4,no animationFrames sequence
dragon-shiryu,cmd:d/f+2,no animationFrames sequence
dragon-shiryu,cmd:f+1,no animationFrames sequence
dragon-shiryu,cmd:qcf+4,no animationFrames sequence
dragon-shiryu,neutral:heavy-jab,no animationFrames sequence
dragon-shiryu,neutral:heavy-jab-heavy,no animationFrames sequence
dragon-shiryu,neutral:heavy-jab-special,no animationFrames sequence
dragon-shiryu,neutral:heavy-kick,no animationFrames sequence
dragon-shiryu,neutral:heavy-kick-special,no animationFrames sequence
dragon-shiryu,neutral:heavy-special,no animationFrames sequence
dragon-shiryu,neutral:heavy-special-kick,no animationFrames sequence
dragon-shiryu,neutral:jab-heavy,no animationFrames sequence
dragon-shiryu,neutral:jab-heavy-kick,no animationFrames sequence
dragon-shiryu,neutral:jab-heavy-special,no animationFrames sequence
dragon-shiryu,neutral:jab-jab,no animationFrames sequence
dragon-shiryu,neutral:jab-jab-heavy,no animationFrames sequence
dragon-shiryu,neutral:jab-jab-kick,no animationFrames sequence
dragon-shiryu,neutral:jab-jab-special,no animationFrames sequence
dragon-shiryu,neutral:jab-kick,no animationFrames sequence
dragon-shiryu,neutral:jab-kick-heavy,no animationFrames sequence
dragon-shiryu,neutral:jab-kick-special,no animationFrames sequence
dragon-shiryu,neutral:jab-special,no animationFrames sequence
dragon-shiryu,neutral:jab-special-heavy,no animationFrames sequence
dragon-shiryu,neutral:kick-heavy,no animationFrames sequence
dragon-shiryu,neutral:kick-heavy-special,no animationFrames sequence
dragon-shiryu,neutral:kick-jab,no animationFrames sequence
dragon-shiryu,neutral:kick-jab-special,no animationFrames sequence
dragon-shiryu,neutral:kick-special,no animationFrames sequence
dragon-shiryu,neutral:kick-special-heavy,no animationFrames sequence
dragon-shiryu,neutral:special-heavy,no animationFrames sequence
dragon-shiryu,neutral:special-jab,no animationFrames sequence
dragon-shiryu,neutral:special-jab-heavy,no animationFrames sequence
dragon-shiryu,neutral:special-kick,no animationFrames sequence
eve,cmd:1+3,no animationFrames sequence
eve,cmd:2+3,no animationFrames sequence
eve,cmd:2+4,no animationFrames sequence
eve,cmd:FC+1,no animationFrames sequence
eve,cmd:FC+2,no animationFrames sequence
eve,cmd:O+2,no animationFrames sequence
eve,cmd:WS+4,no animationFrames sequence
eve,cmd:d/f+2,no animationFrames sequence
eve,cmd:f+1,no animationFrames sequence
eve,cmd:qcf+4,no animationFrames sequence
eve,kickleft,no animationFrames sequence
eve,kickright,no animationFrames sequence
eve,neutral:heavy-jab,no animationFrames sequence
eve,neutral:heavy-jab-heavy,no animationFrames sequence
eve,neutral:heavy-jab-special,no animationFrames sequence
eve,neutral:heavy-kick,no animationFrames sequence
eve,neutral:heavy-kick-special,no animationFrames sequence
eve,neutral:heavy-special,no animationFrames sequence
eve,neutral:heavy-special-kick,no animationFrames sequence
eve,neutral:jab-heavy,no animationFrames sequence
eve,neutral:jab-heavy-kick,no animationFrames sequence
eve,neutral:jab-heavy-special,no animationFrames sequence
eve,neutral:jab-jab,no animationFrames sequence
eve,neutral:jab-jab-heavy,no animationFrames sequence
eve,neutral:jab-jab-kick,no animationFrames sequence
eve,neutral:jab-jab-special,no animationFrames sequence
eve,neutral:jab-kick,no animationFrames sequence
eve,neutral:jab-kick-heavy,no animationFrames sequence
eve,neutral:jab-kick-special,no animationFrames sequence
eve,neutral:jab-special,no animationFrames sequence
eve,neutral:jab-special-heavy,no animationFrames sequence
eve,neutral:kick-heavy,no animationFrames sequence
eve,neutral:kick-heavy-special,no animationFrames sequence
eve,neutral:kick-jab,no animationFrames sequence
eve,neutral:kick-jab-special,no animationFrames sequence
eve,neutral:kick-special,no animationFrames sequence
eve,neutral:kick-special-heavy,no animationFrames sequence
eve,neutral:special-heavy,no animationFrames sequence
eve,neutral:special-jab,no animationFrames sequence
eve,neutral:special-jab-heavy,no animationFrames sequence
eve,neutral:special-kick,no animationFrames sequence
franky,cmd:2+4,no animationFrames sequence
franky,cmd:FC+1,no animationFrames sequence
franky,cmd:FC+2,no animationFrames sequence
franky,cmd:O+2,no animationFrames sequence
franky,cmd:WS+4,no animationFrames sequence
franky,cmd:d/f+2,no animationFrames sequence
franky,cmd:f+1,no animationFrames sequence
franky,cmd:qcf+4,no animationFrames sequence
franky,kickleft,no animationFrames sequence
franky,kickright,no animationFrames sequence
franky,neutral:heavy-jab,no animationFrames sequence
franky,neutral:heavy-jab-heavy,no animationFrames sequence
franky,neutral:heavy-jab-special,no animationFrames sequence
franky,neutral:heavy-kick,no animationFrames sequence
franky,neutral:heavy-kick-special,no animationFrames sequence
franky,neutral:heavy-special,no animationFrames sequence
franky,neutral:heavy-special-kick,no animationFrames sequence
franky,neutral:jab-heavy,no animationFrames sequence
franky,neutral:jab-heavy-kick,no animationFrames sequence
franky,neutral:jab-heavy-special,no animationFrames sequence
franky,neutral:jab-jab,no animationFrames sequence
franky,neutral:jab-jab-heavy,no animationFrames sequence
franky,neutral:jab-jab-kick,no animationFrames sequence
franky,neutral:jab-jab-special,no animationFrames sequence
franky,neutral:jab-kick,no animationFrames sequence
franky,neutral:jab-kick-heavy,no animationFrames sequence
franky,neutral:jab-kick-special,no animationFrames sequence
franky,neutral:jab-special,no animationFrames sequence
franky,neutral:jab-special-heavy,no animationFrames sequence
franky,neutral:kick-heavy,no animationFrames sequence
franky,neutral:kick-heavy-special,no animationFrames sequence
franky,neutral:kick-jab,no animationFrames sequence
franky,neutral:kick-jab-special,no animationFrames sequence
franky,neutral:kick-special,no animationFrames sequence
franky,neutral:kick-special-heavy,no animationFrames sequence
franky,neutral:special-heavy,no animationFrames sequence
