character,displayName,key,frame,widthRatio,heightRatio,gapRatio,bodyHeightRatio,bodyGapRatio,localDip,scaleWidth,scaleHeight,source,reasons
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",184,2.854,0.459,0.541,0.459,0.541,0.541,1.1,1.1,frame,"idle-gap:0.54|seq-dip:0.54"
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",185,1,1,0,0.577,0.423,0,1,1,default,"body-gap:0.42"
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",186,2.854,0.459,0.541,0.459,0.541,0.541,1.1,1.1,frame,"idle-gap:0.54|seq-dip:0.54"
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",187,2.854,0.459,0.541,0.459,0.541,0.541,1.1,1.1,frame,"idle-gap:0.54|seq-dip:0.54"
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",188,2.854,0.459,0.541,0.459,0.541,0.541,1.1,1.1,frame,"idle-gap:0.54|seq-dip:0.54"
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",189,2.854,0.459,0.541,0.459,0.541,0.541,1.1,1.1,frame,"idle-gap:0.54|seq-dip:0.54"
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",190,1,1,0,0.504,0.496,0,1,1,default,"body-gap:0.50"
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",191,2.854,0.459,0.541,0.459,0.541,0.541,1.1,1.1,frame,"idle-gap:0.54|seq-dip:0.54"
jaguar-junichi,"Jaguar Junichi","cmd:qcf+4",192,2.854,0.459,0.541,0.459,0.541,0.541,1.1,1.1,frame,"idle-gap:0.54|seq-dip:0.54"
jotaro-kujo,"Jotaro Kujo","juggle",30,1.555,0.75,0.25,0.75,0.25,0.015,0.75,0.75,frame,"idle-gap:0.25"
jotaro-kujo,"Jotaro Kujo","juggle",31,1.516,0.78,0.22,0.78,0.22,0,0.78,0.78,frame,"idle-gap:0.22"
kenshiro,"Kenshiro","cmd:d/f+3",108,1.857,1,0,0.712,0.288,0,1,1,default,"body-gap:0.29"
kenshiro,"Kenshiro","cmd:d/f+3",111,1.84,1,0,0.76,0.24,0,1,1,default,"body-gap:0.24"
kenshiro,"Kenshiro","cmd:d+3",108,1.857,1,0,0.712,0.288,0,1,1,default,"body-gap:0.29"
kenshiro,"Kenshiro","cmd:d+3",111,1.84,1,0,0.76,0.24,0,1,1,default,"body-gap:0.24"
kenshiro,"Kenshiro","cmd:f+3",108,1.857,1,0,0.712,0.288,0,1,1,default,"body-gap:0.29"
kenshiro,"Kenshiro","cmd:f+3",111,1.84,1,0,0.76,0.24,0,1,1,default,"body-gap:0.24"
kenshiro,"Kenshiro","cmd:qcf+3",108,1.857,1,0,0.712,0.288,0,1,1,default,"body-gap:0.29"
kenshiro,"Kenshiro","cmd:qcf+3",111,1.84,1,0,0.76,0.24,0,1,1,default,"body-gap:0.24"
kenshiro,"Kenshiro","cmd:SS+3",108,1.857,1,0,0.712,0.288,0,1,1,default,"body-gap:0.29"
kenshiro,"Kenshiro","cmd:SS+3",111,1.84,1,0,0.76,0.24,0,1,1,default,"body-gap:0.24"
kenshiro,"Kenshiro","juggle",33,1.528,0.73,0.27,0.73,0.27,0,0.73,0.73,frame,"idle-gap:0.27"
kenshiro,"Kenshiro","juggle",34,1.459,0.7,0.3,0.7,0.3,0.015,0.7,0.7,frame,"idle-gap:0.30"
kinnikuman,"Kinnikuman","cmd:1+2",101,1.777,0.78,0.22,0.78,0.22,0.2,0.78,0.78,frame,"idle-gap:0.22|seq-dip:0.20"
kinnikuman,"Kinnikuman","cmd:1+2",102,1.864,0.72,0.28,0.72,0.28,0.26,0.72,0.72,frame,"idle-gap:0.28|seq-dip:0.26"
kinnikuman,"Kinnikuman","cmd:1+2",103,1.995,0.68,0.32,0.68,0.32,0.3,0.68,0.68,frame,"idle-gap:0.32|seq-dip:0.30"
kinnikuman,"Kinnikuman","cmd:1+2",103,1.995,0.68,0.32,0.68,0.32,0.3,0.68,0.68,frame,"idle-gap:0.32|seq-dip:0.30"
kinnikuman,"Kinnikuman","cmd:1+2",102,1.864,0.72,0.28,0.72,0.28,0.26,0.72,0.72,frame,"idle-gap:0.28|seq-dip:0.26"
kinnikuman,"Kinnikuman","cmd:1+2",101,1.777,0.78,0.22,0.78,0.22,0.2,0.78,0.78,frame,"idle-gap:0.22|seq-dip:0.20"
kinnikuman,"Kinnikuman","cmd:f+1",271,1,1,0,0.473,0.527,0.01,1,1,default,"body-gap:0.53"
kinnikuman,"Kinnikuman","juggle",30,1.576,0.69,0.31,0.69,0.31,0.015,0.69,0.69,frame,"idle-gap:0.31"
kinnikuman,"Kinnikuman","juggle",31,1.498,0.72,0.28,0.72,0.28,0,0.72,0.72,frame,"idle-gap:0.28"
kurama,"Kurama","juggle",30,1.598,0.71,0.29,0.71,0.29,0.26,0.71,0.71,frame,"idle-gap:0.29|seq-dip:0.26"
monkey-d-luffy-2nd-gear,"Monkey D. Luffy (2nd Gear)","cmd:1+2",81,3.479,0.98,0.02,0.754,0.246,0,0.98,0.98,frame,"body-gap:0.25"
monkey-d-luffy-2nd-gear,"Monkey D. Luffy (2nd Gear)","cmd:1+2",82,3.208,0.98,0.02,0.769,0.231,0,0.98,0.98,frame,"body-gap:0.23"
monkey-d-luffy-2nd-gear,"Monkey D. Luffy (2nd Gear)","cmd:1+2",85,3.595,0.98,0.02,0.74,0.26,0,0.98,0.98,frame,"body-gap:0.26"
monkey-d-luffy-2nd-gear,"Monkey D. Luffy (2nd Gear)","cmd:3+4",102,4.632,1.03,0,0.651,0.349,0,1.03,1.03,frame,"body-gap:0.35"
naruto-uzumaki-nine-tails-kyubi,"Naruto Uzumaki (Nine-Tails_Kyubi)","juggle",31,1.223,0.788,0.212,0.767,0.233,0.353,0.67,0.67,frame,"idle-gap:0.21|seq-dip:0.35"
neuro-nogami,"Neuro Nogami","cmd:2+4",209,0.95,0.95,0.05,0.742,0.258,0.05,0.95,0.95,frame,"body-gap:0.26"
nico-robin,"Nico Robin","cmd:3+4",238,1.861,0.95,0.05,0.523,0.477,0,0.95,0.95,frame,"body-gap:0.48"
piccolo,"Piccolo","cmd:f+1",154,1,1,0,0.491,0.509,0.076,0.92,0.92,frame,"body-gap:0.51"
renji-abarai,"Renji Abarai","cmd:qcf+4",146,1.107,0.999,0.001,0.674,0.326,0,0.98,0.98,frame,"body-gap:0.33"
rukia-kuchiki,"Rukia Kuchiki","sprint",13,1,1,0,0.486,0.514,0,1,1,default,"body-gap:0.51"
sanji-vinsmoke,"Sanji Vinsmoke","cmd:2+3",137,2.544,0.98,0.02,0.646,0.354,0,0.98,0.98,frame,"body-gap:0.35"
train-heartnet,"Train Heartnet","juggle",30,2.335,0.49,0.51,0.49,0.51,0.01,0.49,0.49,frame,"idle-gap:0.51"
train-heartnet,"Train Heartnet","juggle",31,2.117,0.51,0.49,0.51,0.49,0,0.51,0.51,frame,"idle-gap:0.49"
